product_id,brand,product_name,award_theme,category,subcategory,concern,award_rank
P00185,인요에,세라마이드 쌀 그리미 밀크 토너,효능/효과,스킨케어,스킨/토너,보습,1
P00324,러베,5중 세라마이드 로션,효능/효과,스킨케어,로션/에멀젼,보습,1
P00130,에센시엘,하이드라 포르테 앰플,효능/효과,스킨케어,에센스/앰플/세럼,보습,1
P00039,에스네이처,호호바오일,효능/효과,스킨케어,페이스오일,보습,1
P00158,라비앙,엑토덤 액티브 베리어 크림,효능/효과,스킨케어,크림,보습,1
P00012,코스노리,아보카도 아이크림,효능/효과,스킨케어,아이케어,보습,1
P00032,아이레시피,아쿠아 피토플렉스 크림 인 젤,효능/효과,스킨케어,젤,보습,1
P00177,커버앤커버,애플민트 히알루론산 PDRN 3분 패드 팩,효능/효과,스킨케어,스킨/토너 패드,보습,1
P00132,아토팜,릴렉싱 나이트 밤,효능/효과,스킨케어,밤/멀티밤,보습,1
P00103,메디큐브,PDRN 핑크 펩타이드 앰플,효능/효과,스킨케어,에센스/앰플/세럼,브라이트닝,1
P00189,결하우스,스킨 베리어 호호바 오일,효능/효과,스킨케어,페이스오일,브라이트닝,1
P00323,ICD,래디언솜™100 마이크로플루다이저 크림,효능/효과,스킨케어,크림,브라이트닝,1
P00041,마리엔메이,트라넥사믹산 글루타티온 아이크림,효능/효과,스킨케어,아이케어,브라이트닝,1
P00104,YBK,핑크 글로우 빔 젤리 패드,효능/효과,스킨케어,스킨/토너 패드,브라이트닝,1
P00152,히즈라팜,글로우라팜 토너,효능/효과,스킨케어,스킨/토너,안티에이징,1
P00100,아렌시아,레드 스무디 로션 5,효능/효과,스킨케어,로션/에멀젼,안티에이징,1
P00113,라보레브,피치마이크로바이옴 84 이지에프 세럼,효능/효과,스킨케어,에센스/앰플/세럼,안티에이징,1
P00136,리쥬베닐,리페어 PDRN 1500 크림,효능/효과,스킨케어,크림,안티에이징,1
P00061,엑시스와이,비건 콜라겐 아이 세럼,효능/효과,스킨케어,아이케어,안티에이징,1
P00224,코스알엑스,아하/바하 클래리파잉 토너 미스트,효능/효과,스킨케어,스킨/토너,각질,1
P00262,믹순,콩 에센스,효능/효과,스킨케어,에센스/앰플/세럼,각질,1
P00029,토리든,밸런스풀 시카 토너 패드,효능/효과,스킨케어,스킨/토너 패드,각질,1
P00023,에스트라,테라크네365 하이드로 액티브 토너,효능/효과,스킨케어,스킨/토너,트러블,1
P00046,넘버즈인,1번 판토텐산 액티브업 수딩세럼,효능/효과,스킨케어,에센스/앰플/세럼,트러블,1
P00309,블랑네이처,5배 고농축 매직 티트리 오일,효능/효과,스킨케어,페이스오일,트러블,1
P00006,비플레인,시카테롤 스팟 트리트먼트,효능/효과,스킨케어,크림,트러블,1
P00138,아누아,PDRN 히알루론산 수분 캡슐 미스트,효능/효과,스킨케어,미스트,오일,1
P00142,리쥬베닐,아바파하샴페인미스트앰플,효능/효과,스킨케어,미스트,워터,1
P00321,마미케어,바다포도 젤리미스트,효능/효과,스킨케어,미스트,젤,1
P00163,네오베아,레이어링 크림 미스트,효능/효과,스킨케어,미스트,크림,1
P00162,큐리즌,쿨앤딥 페이셜 클렌저,효능/효과,클렌징/필링,클렌징 폼,진정,1
P00165,아누아,어성초 약산성 딥 클렌징 워터,효능/효과,클렌징/필링,클렌징 워터,진정,1
P00141,엠디스픽,테카테카 카밍 젤리 폼 클렌저,효능/효과,클렌징/필링,클렌징 젤,진정,1
P00272,메디큐브,엑소좀시카 진정 패드,효능/효과,클렌징/필링,스크럽/필링 패드,진정,1
P00121,아렌시아,프레시 클렌저 [그린],효능/효과,클렌징/필링,클렌징 폼,모공,1
P00051,비플레인,녹두 클렌징 워터,효능/효과,클렌징/필링,클렌징 워터,모공,1
P00015,토리든,밸런스풀 시카 클렌징 젤,효능/효과,클렌징/필링,클렌징 젤,모공,1
P00001,마녀공장,퓨어 소이빈 클렌징 오일,효능/효과,클렌징/필링,클렌징 오일,모공,1
P00218,메이크프렘,피디알엔 포어 클레이 클렌징 밀크,효능/효과,클렌징/필링,클렌징 로션/크림,모공,1
P00043,일소,슈퍼 멜팅 세범 소프트너,효능/효과,클렌징/필링,스크럽/필링,모공,1
P00018,YBK,어성초 원스텝 포어 패드,효능/효과,클렌징/필링,스크럽/필링 패드,모공,1
P00279,노일리,블랙헤드 슬라임 효소클렌저,효능/효과,클렌징/필링,클렌징 파우더,모공,1
P00259,바닐라코,클린 잇 제로 클렌징밤 [오리지널],효능/효과,클렌징/필링,클렌징 밤,모공,1
P00164,메디힐,더마 크림 팩 클렌저 [마데카소사이드 진정 장벽],효능/효과,클렌징/필링,클렌징 폼,수분,1
P00027,코스알엑스,약산성 나이아신아마이드 미셀라 클렌징 워터,효능/효과,클렌징/필링,클렌징 워터,수분,1
P00340,세로랩스,제로 버블 퓨어 젤 클렌저,효능/효과,클렌징/필링,클렌징 젤,수분,1
P00154,토리든,다이브인 저분자 히알루론산 클렌징밀크,효능/효과,클렌징/필링,클렌징 로션/크림,수분,1
P00111,프리메이,햇쌀 데일리 폼 클렌저,효능/효과,클렌징/필링,클렌징 폼,보습,1
P00208,테라비코스,히알루론산 약산성 클렌징 워터,효능/효과,클렌징/필링,클렌징 워터,보습,1
P00118,블렌드모어,데이듀 스킨부스팅 젤투폼,효능/효과,클렌징/필링,클렌징 젤,보습,1
P00214,메이크프렘,세이프 미 릴리프 모이스처 클렌징 밀크,효능/효과,클렌징/필링,클렌징 로션/크림,보습,1
P00014,이즈앤트리,어니언 뉴페어 클리어 패드,효능/효과,클렌징/필링,스크럽/필링 패드,브라이트닝,1
P00099,라운드랩,동백 딥 콜라겐 젤리 팩 클렌저,효능/효과,클렌징/필링,클렌징 젤,안티에이징,1
P00122,한율,달빛유자 클렌징 톤업 팩폼,효능/효과,클렌징/필링,클렌징 폼,각질,1
P00171,닥터지,브라이트닝 필링 젤,효능/효과,클렌징/필링,스크럽/필링,각질,1
P00005,스트라이덱스,센시티브 패드,효능/효과,클렌징/필링,스크럽/필링 패드,각질,1
P00296,오르제나,라하 올 멜팅 클렌징밤,효능/효과,클렌징/필링,클렌징 밤,각질,1
P00116,메디섹션넘버,넘버M 트러블케어 폼클렌저,효능/효과,클렌징/필링,클렌징 폼,트러블,1
P00030,메디필,그린 시카 콜라겐 클리어 젤 클렌저 2.0,효능/효과,클렌징/필링,클렌징 젤,트러블,1
P00269,스트라이덱스,맥스플러스 패드,효능/효과,클렌징/필링,스크럽/필링 패드,트러블,1
P00056,바노바기,젤리 마스크 [시카],효능/효과,마스크/팩,시트마스크,진정,1
P00201,스킨푸드,피치뽀송 징크 PCA 패드,효능/효과,마스크/팩,부분마스크/팩,진정,1
P00117,마리아포사떼,오로라그린 모델링팩,효능/효과,마스크/팩,필오프 팩,진정,1
P00277,바이오던스,리프레싱 씨 켈프 리얼 딥 마스크,효능/효과,마스크/팩,슬리핑팩,진정,1
P00052,트루스오브뷰티,시카-뮤신 진정 패드,효능/효과,마스크/팩,부분마스크 패드,진정,1
P00350,루온셀,하이 리프트 겔 마스크,효능/효과,마스크/팩,시트마스크,모공,1
P00322,마미케어,바다포도 스킨팩,효능/효과,마스크/팩,부분마스크/팩,모공,1
P00070,아렌시아,그린티 + LHA 딥 포어 찹쌀떡솝,효능/효과,마스크/팩,워시오프 팩,모공,1
P00115,비햅,슬로우차가 펩타이드 글로우 랩핑 마스크,효능/효과,마스크/팩,필오프 팩,모공,1
P00168,메디힐,피디알엔 모공 탄력 패드,효능/효과,마스크/팩,부분마스크 패드,모공,1
P00055,바노바기,젤리 마스크 [하이드레이팅],효능/효과,마스크/팩,시트마스크,수분,1
P00196,아누아,PDRN 히알루론산 수분 클렌징 폼,효능/효과,마스크/팩,워시오프 팩,수분,1
P00334,리노블,히알루론산 모이스처라이징 앰플 마스크,효능/효과,마스크/팩,시트마스크,보습,1
P00071,아렌시아,클렌저 떡솝 [프레시 로얄 로즈힙],효능/효과,마스크/팩,워시오프 팩,보습,1
P00200,눈스업,스텔라블룸 PDRN 콜라겐 랩핑 마스크,효능/효과,마스크/팩,필오프 팩,보습,1
P00241,빌리프,슈퍼 나이츠 마스크 [멀티 비타민],효능/효과,마스크/팩,슬리핑팩,보습,1
P00211,오베드,브라이트닝 마스크,효능/효과,마스크/팩,시트마스크,브라이트닝,1
P00328,퓨로피엘,마이크로핏 액티브 톤업패치,효능/효과,마스크/팩,부분마스크/팩,브라이트닝,1
P00287,메디큐브,PDRN 겔 패드,효능/효과,마스크/팩,부분마스크 패드,브라이트닝,1
P00307,토브토브,퍼펙트 콜라겐 마스크,효능/효과,마스크/팩,시트마스크,안티에이징,1
P00329,퓨로피엘,마이크로핏 액티브 끌올패치,효능/효과,마스크/팩,부분마스크/팩,안티에이징,1
P00096,이지포뮬라®,콜라겐 팩,효능/효과,마스크/팩,필오프 팩,안티에이징,1
P00304,피체,로즈 립 클레이팩 클렌저,효능/효과,마스크/팩,워시오프 팩,각질,1
P00137,듀이트리,픽 앤 퀵 뜯어쓰는 더블 패드 [화장발],효능/효과,마스크/팩,부분마스크 패드,각질,1
P00220,이옴,트러블 패치 마스크,효능/효과,마스크/팩,시트마스크,트러블,1
P00019,파티온,노스카나인 스팟 패치,효능/효과,마스크/팩,패치,트러블,1
P00344,아토팜,이지워시 선스크린 [SPF50+/PA++++],효능/효과,선케어,선크림/로션,진정,1
P00331,바이오더마,포토덤 엑스디펜스 울트라 플루이드 [SPF50+/PA++++],효능/효과,선케어,선크림/로션,모이스처,1
P00131,타이디랩,퍼플톤업 선크림 [SPF50+/PA++++],효능/효과,선케어,선크림/로션,톤업,1
P00295,식물나라,뽀얀쌀 생기 톤업 선쿠션 [SPF50+/PA++++] [02 생기 피치],효능/효과,선케어,선쿠션/팩트,톤업,1
P00318,포썸머,오션프루프 선크림 02 선 블러쉬드 [SPF50+/PA++++],효능/효과,선케어,선크림/로션,워터프루프,1
P00090,니얼지,에어터치 선스틱 [SPF50+/PA++++],효능/효과,선케어,선스틱,워터프루프,1
P00125,타이디랩,포어리스 선에센스 [SPF50+/PA++++],효능/효과,선케어,선크림/로션,노세범,1
P00110,아렌시아,클라우드 선 스틱 [SPF50+/PA++++],효능/효과,선케어,선스틱,노세범,1
P00026,라보에이치,두피강화 클리닉 탈모증상완화 샴푸,효능/효과,헤어케어,샴푸,두피케어,1
P00002,헤어플러스,단백질 본드 샴푸,효능/효과,헤어케어,샴푸,손상케어,1
P00095,디피어,프리미엄 퍼퓸 리페어 트리트먼트 헤어팩,효능/효과,헤어케어,트리트먼트/팩,손상케어,1
P00191,디피어,프리미엄 퍼퓸 리페어 샴푸,효능/효과,헤어케어,샴푸,탈모케어,1
P00298,아르히,스피큘 두피 앰플,효능/효과,헤어케어,트리트먼트/팩,탈모케어,1
P00192,누프,젤리코 테라피 컬러 샴푸,효능/효과,헤어케어,샴푸,컬러케어,1
P00105,토미울프,딥클렌징 두피 브러쉬,효능/효과,뷰티소품,헤어 소품,빗,1
P00107,에끌라두,샌달우드 괄사,효능/효과,뷰티소품,스킨케어 소품,마사지도구,1
P00109,일소,모공 클렌징 마스터,효능/효과,뷰티소품,스킨케어 소품,팩,1
P00128,픽셀퓨어,수딩 앰플 토너,넥스트 뷰티,스킨케어,스킨/토너,진정,1
P00337,글로우풀,시카 바하 카밍 세럼,넥스트 뷰티,스킨케어,에센스/앰플/세럼,진정,1
P00266,셀인샷,EGF 알란테놀 리페어 크림,넥스트 뷰티,스킨케어,크림,진정,1
P00300,큐어알파,알로에시카 수딩젤,넥스트 뷰티,스킨케어,젤,진정,1
P00194,누메,딥 포어 퍼밍 세럼,넥스트 뷰티,스킨케어,에센스/앰플/세럼,모공,1
P00050,수올림,탄닌 시카 투웨이 토너패드,넥스트 뷰티,스킨케어,스킨/토너 패드,모공,1
P00089,스타라이크,캐모마일 스킨 베리어 토너,넥스트 뷰티,스킨케어,스킨/토너,수분,1
P00326,포헤르츠,히알라겐 버블 세럼,넥스트 뷰티,스킨케어,에센스/앰플/세럼,수분,1
P00126,픽셀퓨어,래디언스 아쿠아 수딩 크림,넥스트 뷰티,스킨케어,크림,수분,1
P00106,셀라딕스,히알루로닉 인텐스 토너,넥스트 뷰티,스킨케어,스킨/토너,보습,1
P00275,레이어랩,니오좀 판테놀 5% 세럼,넥스트 뷰티,스킨케어,에센스/앰플/세럼,보습,1
P00024,벨로즈,유기농 호호바 오일,넥스트 뷰티,스킨케어,페이스오일,보습,1
P00101,쓰리노프,데일리 컨셔스 크림,넥스트 뷰티,스킨케어,크림,보습,1
P00183,YBK,핑크 글로우 듀얼 캡슐 앰플 3X,넥스트 뷰티,스킨케어,에센스/앰플/세럼,브라이트닝,1
P00021,라비엘,아세로라 잡티 & 기미 케어 크림,넥스트 뷰티,스킨케어,크림,브라이트닝,1
P00150,타이드온스킨,펩타이드 퍼밍 세럼,넥스트 뷰티,스킨케어,에센스/앰플/세럼,안티에이징,1
P00341,오우스킨,플라노리아 아스타잔틴 & 콜라겐 안티에이징 부스터,넥스트 뷰티,스킨케어,크림,안티에이징,1
P00085,닥터트웬티프로젝트,리프덤 오토 아이크림,넥스트 뷰티,스킨케어,아이케어,안티에이징,1
P00314,리슬로우,화이트 로터스 피디알엔 스프레이 세럼,넥스트 뷰티,스킨케어,미스트,오일,1
P00127,픽셀퓨어,젠틀 젤투폼 클렌저,넥스트 뷰티,클렌징/필링,클렌징 젤,진정,1
P00149,세로랩스,딥 포어 클렌징 오일,넥스트 뷰티,클렌징/필링,클렌징 오일,모공,1
P00120,리에종드로렌,포어 클렌저,넥스트 뷰티,클렌징/필링,클렌징 폼,보습,1
P00297,마미케어,애사비 클렌저,넥스트 뷰티,클렌징/필링,클렌징 폼,브라이트닝,1
P00088,셀라딕스,트러블 클리어 약산성 젤클렌저,넥스트 뷰티,클렌징/필링,클렌징 젤,트러블,1
P00173,로티,리프루미 시트 마스크팩 [수더],넥스트 뷰티,마스크/팩,시트마스크,진정,1
P00160,디웨더,레스쿠쿨 스노우 마스크 패드,넥스트 뷰티,마스크/팩,부분마스크 패드,진정,1
P00091,소미,클라우드 딥 아쿠아 마스크,넥스트 뷰티,마스크/팩,시트마스크,수분,1
P00333,리노블,콜라겐 모이스처라이징 앰플 마스크,넥스트 뷰티,마스크/팩,시트마스크,보습,1
P00308,휩드,비건 팩클렌저 [무화버터],넥스트 뷰티,마스크/팩,워시오프 팩,보습,1
P00210,결하우스,올리브 앤 레몬 글로우 하이드로겔 마스크,넥스트 뷰티,마스크/팩,시트마스크,브라이트닝,1
P00217,비마이스킨,스템셀 엔엠엔 리셋 하이드로겔 마스크,넥스트 뷰티,마스크/팩,시트마스크,안티에이징,1
P00140,퍼지티브,리밸런싱 수분 선크림 [SPF50+/PA++++],넥스트 뷰티,선케어,선크림/로션,모이스처,1
P00207,어게인미,비비 안티헤어로스 샴푸 [두피맑음],넥스트 뷰티,헤어케어,샴푸,두피케어,1
P00135,프롬랩스,프로틴 캡슐 헤어 리페어 샴푸,넥스트 뷰티,헤어케어,샴푸,손상케어,1
P00148,토미울프,블랙밤부 트리트먼트,넥스트 뷰티,헤어케어,트리트먼트/팩,손상케어,1
P00186,스카비올,탈모증상완화 단백질 샴푸,넥스트 뷰티,헤어케어,샴푸,탈모케어,1
P00010,YBK,세라마이드 릴리프 하이드레이션 토너,라이징 트렌드,스킨케어,스킨/토너,진정,1
P00330,시카젠,프레시 시카 90% 앰플,라이징 트렌드,스킨케어,에센스/앰플/세럼,진정,1
P00302,바이오던스,포어 퍼펙팅 콜라겐 펩타이드 세럼,라이징 트렌드,스킨케어,에센스/앰플/세럼,모공,1
P00315,따띠온,수분 레시피 저분자 히알루론산 세럼,라이징 트렌드,스킨케어,에센스/앰플/세럼,수분,1
P00303,아브카,딥 모이스처 세라마이드 크림 토너,라이징 트렌드,스킨케어,스킨/토너,보습,1
P00060,결하우스,하이드레이션 호호바 에센스,라이징 트렌드,스킨케어,에센스/앰플/세럼,보습,1
P00195,에코미니멀,데일리 페이셜 크림,라이징 트렌드,스킨케어,크림,보습,1
P00139,얼댓,스트로비 글로우 세럼,라이징 트렌드,스킨케어,에센스/앰플/세럼,브라이트닝,1
P00147,씨엔,쌀눈 크림,라이징 트렌드,스킨케어,크림,브라이트닝,1
P00156,라망지우,스킨 부스팅 앰플,라이징 트렌드,스킨케어,에센스/앰플/세럼,안티에이징,1
P00209,라보레브,피치마이크로바이옴 10 엑소좀 크림,라이징 트렌드,스킨케어,크림,안티에이징,1
P00301,풀리,쌀 반죽 팩 클렌저,라이징 트렌드,클렌징/필링,클렌징 폼,보습,1
P00312,프롬메디,아줄렌 시카 카밍 마스크,라이징 트렌드,마스크/팩,시트마스크,진정,1
P00133,픽셀퓨어,딥 모이스처라이징 컴포트 쉴드 마스크시트,라이징 트렌드,마스크/팩,시트마스크,보습,1
P00153,리뉴랩,펄 앰플 마스크,라이징 트렌드,마스크/팩,시트마스크,브라이트닝,1
P00174,로티,리프루미 시트 마스크팩 [콜라겐],라이징 트렌드,마스크/팩,시트마스크,안티에이징,1
P00339,허니버니,허니 멜팅 샴푸,라이징 트렌드,헤어케어,샴푸,두피케어,1
P00083,세로랩스,수딩 토너,글로벌 픽,스킨케어,스킨/토너,진정,1
P00049,온그리디언츠,스킨 베리어 카밍 로션,글로벌 픽,스킨케어,로션/에멀젼,진정,1
P00250,토리든,밸런스풀 시카 진정 세럼,글로벌 픽,스킨케어,에센스/앰플/세럼,진정,1
P00172,닥터지,레드 블레미쉬 클리어 수딩 크림,글로벌 픽,스킨케어,크림,진정,1
P00292,낫씨백,엔에스비케이 핑크 알로에 수딩 젤,글로벌 픽,스킨케어,젤,진정,1
P00082,아비브,어성초 흔적 에센스 패드 클리어 터치,글로벌 픽,스킨케어,스킨/토너 패드,진정,1
P00264,제로이드,인텐시브 SOS 플러스 밤,글로벌 픽,스킨케어,밤/멀티밤,진정,1
P00067,비플레인,녹두 모공 클리어링 라하 토너,글로벌 픽,스킨케어,스킨/토너,모공,1
P00016,에스네이처,아쿠아 스쿠알란 세럼,글로벌 픽,스킨케어,에센스/앰플/세럼,모공,1
P00073,비플레인,녹두 모공 타이트업 수딩 크림,글로벌 픽,스킨케어,크림,모공,1
P00102,메디큐브,제로모공패드 2.0,글로벌 픽,스킨케어,스킨/토너 패드,모공,1
P00003,에스네이처,아쿠아 오아시스 토너,글로벌 픽,스킨케어,스킨/토너,수분,1
P00075,아누아,PDRN 히알루론산 캡슐 100 세럼,글로벌 픽,스킨케어,에센스/앰플/세럼,수분,1
P00017,에스네이처,아쿠아 스쿠알란 수분크림,글로벌 픽,스킨케어,크림,수분,1
P00031,에스네이처,아쿠아 오아시스 수분 젤크림,글로벌 픽,스킨케어,젤,수분,1
P00068,리브엠,워터핏 8중 수분착붙 패드,글로벌 픽,스킨케어,스킨/토너 패드,수분,1
P00151,코스노리,판테놀 베리어 토너,글로벌 픽,스킨케어,스킨/토너,보습,1
P00098,에스트라,아토베리어365 로션,글로벌 픽,스킨케어,로션/에멀젼,보습,1
P00112,이니스프리,그린티 밀크 보습 에센스,글로벌 픽,스킨케어,에센스/앰플/세럼,보습,1
P00039,에스네이처,호호바오일,글로벌 픽,스킨케어,페이스오일,보습,1
P00097,에스트라,아토베리어365 크림,글로벌 픽,스킨케어,크림,보습,1
P00012,코스노리,아보카도 아이크림,글로벌 픽,스킨케어,아이케어,보습,1
P00288,스탠다드서울,배리어 글래스 겔 크림,글로벌 픽,스킨케어,젤,보습,1
P00284,파우치24,퀸즈 밤,글로벌 픽,스킨케어,밤/멀티밤,보습,1
P00064,아누아,라이스 70 글로우 밀키 토너,글로벌 픽,스킨케어,스킨/토너,브라이트닝,1
P00290,달바,비타 토닝 세럼 로션,글로벌 픽,스킨케어,로션/에멀젼,브라이트닝,1
P00062,메디힐,마데카소사이드 흔적 리페어 세럼,글로벌 픽,스킨케어,에센스/앰플/세럼,브라이트닝,1
P00189,결하우스,스킨 베리어 호호바 오일,글로벌 픽,스킨케어,페이스오일,브라이트닝,1
